time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1777994173.4844441,131,0.1757,0,-12.0064,0.1217,-3.1267,0.014290,0.0053,28.70,12.92,-7.35
1777994173.7643118,132,0.1752,0,-10.3296,0.1264,-3.2819,0.009003,0.0085,30.13,15.89,-9.26
1777994174.0355318,133,0.1749,0,-8.9066,0.1302,-3.3724,0.001384,0.0131,31.08,18.34,-10.76
1777994174.2988424,134,0.1748,0,-8.4235,0.1313,-3.4397,0.000064,0.0047,31.32,19.13,-11.28
1777994174.5638916,135,0.1748,0,-8.3676,0.1311,-3.5025,0.000013,0.0056,31.33,19.18,-11.31
1777994174.841677,136,0.1744,0,-8.4336,0.1305,-3.5656,0.000028,0.0106,31.31,19.10,-11.26
1777994175.107423,137,0.1743,0,-8.4646,0.1300,-3.6279,0.000022,0.0121,31.30,19.03,-11.21
1777994175.373476,138,0.1747,0,-8.4417,0.1297,-3.6876,0.000047,0.0104,31.29,18.97,-11.17
1777994175.648868,139,0.1757,0,-7.8683,0.1310,-3.7227,0.002451,0.0108,31.78,20.21,-12.14
1777994175.8988874,140,0.1767,0,-6.5101,0.1347,-3.7011,0.013611,0.0120,34.90,25.18,-17.30
1777994176.1695044,141,0.1766,0,-5.1336,0.1385,-3.6234,0.021743,0.0118,45.10,33.90,-31.72
1777994176.4304473,142,0.1759,0,-3.0464,0.1444,-3.4624,0.017841,0.0058,60.78,42.96,-52.77
1777994176.7090223,143,0.1755,0,0.9173,0.1559,-3.1439,0.008209,0.0092,77.78,50.21,-74.95
1777994176.970831,144,0.1748,0,5.5813,0.1695,-2.6465,0.004256,0.0090,92.20,54.69,-93.01
1777994177.2309453,145,0.1740,0,2.4170,0.1595,-2.2999,0.003293,0.0101,110.85,52.96,-115.66
1777994177.5097084,146,0.1735,0,2.9507,0.1606,-1.9457,0.001240,0.0072,119.27,50.70,-125.95
1777994177.7679014,147,0.1732,0,5.0646,0.1664,-1.5193,0.001133,0.0063,121.92,49.76,-129.24
1777994178.041045,148,0.1753,0,6.6337,0.1706,-1.0418,0.000964,0.0082,123.59,49.15,-131.29
1777994178.3046246,149,0.1803,0,8.0070,0.1744,-0.5165,0.000832,0.0075,124.81,48.82,-132.74
1777994178.563236,150,0.1877,0,8.5171,0.1754,0.0236,0.000392,0.0084,125.57,48.51,-133.68
1777994178.8471098,151,0.1953,0,8.5806,0.1751,0.5575,0.000307,0.0127,125.71,48.46,-133.84
1777994179.109052,152,0.2019,0,8.4614,0.1741,1.0738,0.000252,0.0057,125.86,48.36,-134.04
1777994179.3740106,153,0.2071,0,8.0625,0.1720,1.5553,0.000052,0.0054,126.16,48.07,-134.49
1777994179.6436584,154,0.2104,0,7.9758,0.1711,2.0148,0.000012,0.0126,126.25,48.02,-134.61
1777994179.9076123,155,0.2125,0,7.9252,0.1703,2.4525,0.000028,0.0123,126.32,47.98,-134.70
1777994180.179559,156,0.2117,0,7.6390,0.1686,2.8541,0.000158,0.0149,126.50,47.76,-134.99
1777994180.4545712,157,0.2087,0,7.4504,0.1673,3.2241,0.000152,0.0123,126.58,47.72,-135.09
1777994180.7121758,158,0.2047,0,7.2141,0.1659,3.5617,0.000119,0.0078,124.25,49.01,-132.05
1777994180.9741879,159,0.1999,0,6.3065,0.1622,3.8371,0.000844,0.0058,112.72,51.00,-118.00
1777994181.2445858,160,0.1937,0,2.1295,0.1478,3.9061,0.009203,0.0068,95.87,49.12,-97.30
1777994181.513697,161,0.1858,0,-4.1796,0.1272,3.6986,0.017644,0.0124,77.34,44.99,-73.66
1777994181.7695994,162,0.1782,0,-10.6592,0.1069,3.2402,0.024754,0.0065,57.87,37.66,-47.67
1777994182.0344973,163,0.1722,0,-15.3537,0.0927,2.6275,0.063044,0.0130,41.73,24.53,-23.86
1777994182.2934945,164,0.1709,0,-20.0407,0.0787,1.8535,0.084699,0.0081,33.38,10.15,-8.72
1777994182.5747874,165,0.1737,0,-23.8923,0.0670,0.9374,0.052960,0.0114,29.24,-0.66,-0.20
1777994182.8340023,166,0.1754,0,-27.0462,0.0573,-0.0837,0.012496,0.0061,27.78,-6.42,3.31
1777994183.1050885,167,0.1756,0,-27.9137,0.0545,-1.1028,0.002301,0.0124,27.52,-7.64,3.96
1777994183.3647394,168,0.1697,0,-26.4983,0.0585,-1.9918,0.010100,0.0062,28.03,-3.89,1.92
1777994183.647052,169,0.1541,0,-25.7053,0.0604,-2.7349,0.009862,0.0137,29.33,3.89,-2.67
