time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1778056520.706835,160,0.1782,0,-10.6592,0.1595,7.3430,0.024754,0.0294,57.87,37.66,-47.67
1778056520.972822,161,0.1722,0,-15.3537,0.1543,7.1709,0.063044,0.0331,41.73,24.53,-23.86
1778056521.243535,162,0.1709,0,-20.0407,0.1492,6.9319,0.084699,0.0258,33.38,10.15,-8.72
1778056521.5071158,163,0.1737,0,-23.8923,0.1450,6.6305,0.052960,0.0290,29.24,-0.66,-0.20
1778056521.7808497,164,0.1754,0,-27.0462,0.1414,6.2797,0.012496,0.0242,27.78,-6.42,3.31
1778056522.0558023,165,0.1756,0,-27.9137,0.1404,5.9198,0.002301,0.0339,27.52,-7.64,3.96
1778056522.3198478,166,0.1697,0,-26.4983,0.1417,5.6028,0.010100,0.0260,28.03,-3.89,1.92
1778056522.6017437,167,0.1541,0,-25.7053,0.1423,5.3428,0.009862,0.0360,29.33,3.89,-2.67
1778056522.8655357,168,0.1304,0,-25.0853,0.1426,5.1547,0.016590,0.0346,31.65,14.81,-9.49
1778056523.1188877,169,0.0988,1,-25.1989,0.1426,5.2973,0.049727,0.0283,34.16,26.17,-16.48
1778056523.38608,170,0.0644,1,-32.2430,0.1426,5.4399,0.072285,0.0277,40.03,39.68,-27.58
1778056523.6941054,171,0.0364,1,-132.6334,0.1426,5.5826,0.016787,0.0578,145.41,22.68,-164.62
1778056523.931417,172,0.0238,1,-108.1249,0.1426,5.7252,0.009855,0.0354,138.74,41.09,-149.58
1778056524.1970387,173,0.0217,1,-108.7850,0.1426,5.8679,0.011680,0.0386,140.05,39.64,-151.38
1778056524.4559388,174,0.0208,1,-110.5405,0.1426,6.0105,0.013550,0.0309,140.99,38.05,-152.92
1778056524.7256188,175,0.0202,1,-113.4263,0.1426,6.1532,0.017405,0.0360,141.89,36.56,-154.34
1778056524.9846976,176,0.0200,1,-117.0368,0.1426,6.2958,0.023869,0.0318,142.54,35.35,-155.37
1778056525.2538722,177,0.0198,1,-121.7147,0.1426,6.4385,0.034192,0.0333,143.17,34.19,-156.30
1778056525.5203638,178,0.0197,1,-126.8380,0.1426,6.5811,0.048323,0.0347,143.69,33.25,-157.02
1778056525.8010752,179,0.0196,1,-132.0676,0.1426,6.7238,0.066019,0.0432,144.14,32.49,-157.57
1778056526.0590758,180,0.0196,1,-137.0406,0.1426,6.8664,0.086012,0.0413,144.50,31.91,-157.97
