time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x
1777994843.6320581,158,0.9807,0,21.4942,0.1381,22.6463,0.423639,0.0051,-22.58
1777994843.9093227,159,0.9810,0,21.4421,0.1370,22.4948,0.359632,0.0148,-22.93
1777994844.1814933,160,0.9814,0,22.4635,0.1424,22.5998,0.526004,0.0058,-23.11
1777994844.435259,161,0.9832,0,22.6660,0.1428,22.7260,0.427314,0.0046,-23.46
1777994844.7040102,162,0.9866,0,22.6898,0.1420,22.8295,0.438900,0.0051,-23.57
1777994844.9677012,163,0.9913,0,22.9270,0.1426,22.9623,0.431465,0.0073,-23.52
1777994845.238366,164,0.9959,0,22.5271,0.1393,22.9761,0.231982,0.0056,-23.59
1777994845.50654,165,0.9984,0,22.7590,0.1399,23.0379,0.190945,0.0059,-23.67
1777994845.779487,166,0.9991,0,23.1411,0.1413,23.1708,0.091782,0.0065,-23.75
1777994846.0522208,167,0.9989,0,23.3106,0.1415,23.3120,0.041249,0.0049,-23.80
1777994846.3165908,168,0.9988,0,23.2452,0.1403,23.4069,0.026953,0.0047,-23.71
1777994846.5882876,169,0.9991,0,22.7040,0.1362,23.3593,0.125745,0.0057,-23.56
1777994846.848686,170,0.9994,0,23.0496,0.1375,23.3987,0.191116,0.0080,-23.45
1777994847.1128755,171,0.9995,0,22.8124,0.1353,23.3759,0.203835,0.0060,-23.42
1777994847.3958712,172,0.9996,0,22.6248,0.1334,23.3154,0.180524,0.0061,-23.39
1777994847.6544619,173,0.9995,0,22.9766,0.1347,23.3463,0.086290,0.0065,-23.29
1777994847.9223728,174,0.9995,0,22.5165,0.1312,23.2669,0.011761,0.0048,-23.49
1777994848.1757689,175,0.9995,0,22.6611,0.1313,23.2366,0.003685,0.0043,-23.53
1777994848.448565,176,0.9996,0,22.6628,0.1306,23.2128,0.003075,0.0051,-23.61
1777994848.704782,177,0.9996,0,22.6712,0.1299,23.1955,0.002437,0.0054,-23.75
1777994848.9705963,178,0.9996,0,22.6560,0.1290,23.1780,0.002877,0.0058,-23.65
1777994849.24855,179,0.9995,0,22.6430,0.1282,23.1608,0.003917,0.0059,-23.63
1777994849.508043,180,0.9995,0,22.6629,0.1276,23.1513,0.005103,0.0050,-23.60
1777994849.7728384,181,0.9994,0,22.6490,0.1268,23.1402,0.005567,0.0044,-23.59
1777994850.0487034,182,0.9993,0,22.6125,0.1258,23.1229,0.006290,0.0045,-23.58
1777994850.3137949,183,0.9992,0,22.5746,0.1249,23.1003,0.006517,0.0054,-23.57
1777994850.5756602,184,0.9991,0,22.5172,0.1238,23.0692,0.005741,0.0122,-23.57
1777994850.8526688,185,0.9990,0,22.5427,0.1233,23.0502,0.004935,0.0050,-23.57
1777994851.1156666,186,0.9989,0,22.6118,0.1230,23.0502,0.003764,0.0053,-23.56
1777994851.39184,187,0.9989,0,22.6730,0.1226,23.0633,0.002281,0.0049,-23.57
1777994851.6434538,188,0.9989,0,22.7280,0.1222,23.0853,0.000692,0.0047,-23.57
1777994851.913151,189,0.9989,0,22.7609,0.1217,23.1093,0.000416,0.0104,-23.57
1777994852.1846356,190,0.9989,0,22.7597,0.1210,23.1272,0.000549,0.0152,-23.57
1777994852.4324253,191,0.9989,0,22.7488,0.1202,23.1382,0.000663,0.0058,-23.57
1777994852.700533,192,0.9989,1,22.7488,0.1202,23.2585,0.000000,0.0000,-23.57
1777994852.9619627,193,0.9989,1,22.7488,0.1202,23.3787,0.000000,0.0000,-23.57
1777994853.2233262,194,0.9989,1,22.7488,0.1202,23.4990,0.000000,0.0000,-23.57
1777994853.4980814,195,0.9989,1,22.7488,0.1202,23.6192,0.000000,0.0000,-23.57
