time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x
1777982021.3367007,125,0.9998,0,-16.5549,-0.0054,-16.3940,0.154081,0.0776,-21.72
1777982021.586345,126,0.9998,0,-16.4549,0.0009,-16.4066,0.159252,0.0558,-22.31
1777982021.8272457,127,0.9998,0,-16.3549,0.0068,-16.3900,0.158223,0.0348,-22.32
1777982022.0968409,128,0.9998,0,-16.2549,0.0124,-16.3506,0.157720,0.0814,-22.33
1777982022.3310483,129,0.9998,0,-16.2549,0.0117,-16.3205,0.156372,0.0640,-22.33
1777982022.5805662,130,0.9998,0,-16.2549,0.0110,-16.2976,0.155559,0.0654,-22.33
1777982022.8336554,131,0.9998,0,-16.2549,0.0103,-16.2802,0.154428,0.0659,-22.34
1777982023.0803926,132,0.9998,0,-16.3549,0.0037,-16.2937,0.153721,0.0670,-22.34
1777982023.3219068,133,0.9998,0,-16.3549,0.0035,-16.3044,0.153085,0.0604,-22.34
1777982023.5856833,134,0.9999,0,-16.3549,0.0033,-16.3129,0.152826,0.0788,-22.34
1777982023.826186,135,0.9999,0,-16.3549,0.0031,-16.3197,0.152376,0.0604,-22.34
