time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779716480.8376908,59,0.9969,0,24.1650,0.4116,26.1339,1.473318,0.2126,-0.40,0.016949,0.159104,0,0
1779716481.107975,60,0.9968,0,23.6787,0.3967,26.0783,1.578959,0.2231,-0.62,0.016667,0.159104,0,0
1779716481.3684192,61,0.9969,0,23.5087,0.3874,25.9967,1.754579,0.2138,0.83,0.016393,0.159104,0,0
1779716481.6214879,62,0.9971,0,23.1926,0.3761,25.8684,2.011923,0.1916,4.53,0.016129,0.159104,0,0
1779716481.9069645,63,0.9971,0,22.8621,0.3649,25.6985,2.330579,0.2184,11.69,0.015873,0.159104,0,0
1779716482.1913545,64,0.9970,0,22.6373,0.3558,25.5122,2.656559,0.2360,21.23,0.015625,0.159104,0,0
1779716482.4598022,65,0.9967,0,22.4916,0.3481,25.3261,2.977119,0.2416,31.13,0.015385,0.159104,0,0
1779716482.7126703,66,0.9962,0,22.2795,0.3396,25.1290,3.290455,0.2233,39.78,0.015152,0.159104,0,0
1779716482.9853177,67,0.9955,0,22.3549,0.3357,24.9722,3.514741,0.2240,45.36,0.014925,0.159104,0,0
1779716483.2454524,68,0.9945,0,22.6767,0.3355,24.8913,3.545082,0.2115,46.33,0.014706,0.159104,0,0
1779716483.5065987,69,0.9936,0,22.9919,0.3352,24.8733,3.432022,0.2136,43.84,0.014493,0.159104,0,0
1779716483.7884586,70,0.9927,0,23.3643,0.3357,24.9176,3.140379,0.2330,37.95,0.014286,0.159104,0,0
1779716484.0559354,71,0.9920,0,23.7467,0.3364,25.0161,2.719114,0.2196,28.80,0.014085,0.159104,0,0
1779716484.30681,72,0.9912,0,24.0790,0.3363,25.1516,2.296909,0.2067,17.48,0.013889,0.159104,0,0
1779716484.5870254,73,0.9900,0,24.3578,0.3355,25.3092,1.895366,0.2258,5.72,0.013699,0.159104,0,0
1779716484.8384168,74,0.9885,0,24.6791,0.3353,25.4927,1.419425,0.2131,-5.13,0.013514,0.159104,0,0
1779716485.1182487,75,0.9871,0,24.8126,0.3327,25.6664,1.096578,0.2212,-14.01,0.013333,0.159104,0,0
1779716485.3567412,76,0.9855,0,24.8414,0.3288,25.8142,0.924115,0.1906,-19.53,0.013158,0.159104,0,0
1779716485.650165,77,0.9838,0,24.8721,0.3249,25.9408,0.853084,0.2113,-22.27,0.012987,0.159104,0,0
1779716485.9330273,78,0.9820,0,24.8987,0.3212,26.0490,0.850366,0.2265,-23.27,0.012821,0.159104,0,0
1779716486.1912355,79,0.9803,0,24.9333,0.3176,26.1431,0.907134,0.2176,-23.58,0.012658,0.159104,0,0
1779716486.469833,80,0.9792,0,24.7332,0.3113,26.1862,0.992876,0.2198,-23.58,0.012500,0.159104,0,0
1779716486.70849,81,0.9794,0,24.3164,0.3025,26.1502,1.130689,0.2012,-23.66,0.012346,0.159104,0,0
1779716487.0134428,82,0.9811,0,24.1852,0.2973,26.0944,1.107159,0.2276,-23.70,0.012195,0.159104,0,0
1779716487.2721329,83,0.9834,0,24.1864,0.2938,26.0436,1.042852,0.2294,-23.97,0.012048,0.159104,0,0
1779716487.5345314,84,0.9860,0,24.2703,0.2913,26.0111,0.976818,0.2238,-24.74,0.011905,0.159104,0,0
1779716487.791059,85,0.9887,0,24.2916,0.2882,25.9834,0.938541,0.2106,-24.15,0.011765,0.159104,0,0
1779716488.0549843,86,0.9915,0,24.3545,0.2856,25.9670,0.939322,0.2050,-22.45,0.011628,0.159104,0,0
1779716488.3426452,87,0.9942,0,24.3302,0.2820,25.9455,0.916148,0.2292,-21.55,0.011494,0.159104,0,0
1779716488.6296973,88,0.9965,0,24.4330,0.2800,25.9413,0.882098,0.2409,-20.59,0.011364,0.159104,0,0
1779716488.8714337,89,0.9982,0,24.7799,0.2808,25.9931,0.747378,0.2249,-19.39,0.011236,0.159104,0,0
1779716489.163804,90,0.9987,0,24.8868,0.2788,26.0518,0.763697,0.2520,-17.98,0.011111,0.159104,0,0
1779716489.398695,91,0.9987,0,24.8495,0.2754,26.0924,0.850116,0.2153,-16.06,0.010989,0.159104,0,0
1779716489.7247288,92,0.9984,0,24.7734,0.2716,26.1113,0.956378,0.2632,-13.30,0.010870,0.159104,0,0
1779716489.9370394,93,0.9981,0,24.7711,0.2686,26.1244,1.050657,0.2050,-11.35,0.010753,0.159104,0,0
1779716490.1981423,94,0.9980,0,24.6579,0.2646,26.1141,1.172434,0.2071,-9.42,0.010638,0.159104,0,0
1779716490.487085,95,0.9981,0,24.6819,0.2620,26.1071,1.312338,0.2250,-5.90,0.010526,0.159104,0,0
1779716490.766454,96,0.9983,0,24.6171,0.2586,26.0880,1.488701,0.2337,-2.38,0.010417,0.159104,0,0
1779716491.0012739,97,0.9985,0,24.5303,0.2551,26.0551,1.664555,0.2039,0.48,0.010309,0.159104,0,0
1779716491.2819324,98,0.9986,0,24.4459,0.2516,26.0111,1.777510,0.2161,2.03,0.010204,0.159104,0,0
1779716491.5512776,99,0.9985,0,24.4496,0.2491,25.9725,1.834790,0.2222,2.90,0.010101,0.159104,0,0
1779716491.8363347,100,0.9982,0,24.4857,0.2470,25.9442,1.826727,0.2391,2.48,0.010000,0.159104,0,0
1779716492.0944612,101,0.9979,0,24.4895,0.2446,25.9190,1.742101,0.2257,0.39,0.009901,0.159104,0,0
1779716492.359497,102,0.9974,0,24.6425,0.2437,25.9214,1.595871,0.2138,-3.22,0.009804,0.159104,0,0
1779716492.6286287,103,0.9967,0,24.6798,0.2417,25.9279,1.430124,0.2168,-7.65,0.009709,0.159104,0,0
1779716492.9074025,104,0.9960,0,24.8439,0.2410,25.9589,1.207000,0.2281,-12.16,0.009615,0.159104,0,0
1779716493.1764066,105,0.9954,0,24.8517,0.2387,25.9845,0.993458,0.2400,-16.98,0.009524,0.159104,0,0
1779716493.4219444,106,0.9951,0,24.8196,0.2362,25.9989,0.838056,0.2116,-21.98,0.009434,0.159104,0,0
1779716493.7098734,107,0.9950,0,24.6321,0.2323,25.9780,0.769819,0.2280,-26.30,0.009346,0.159104,0,0
1779716493.9473388,108,0.9952,0,24.3156,0.2272,25.9060,0.844809,0.1980,-27.19,0.009259,0.159104,0,0
1779716494.255772,109,0.9955,0,23.9349,0.2217,25.7803,1.038890,0.2302,-24.67,0.009174,0.159104,0,0
1779716494.5059779,110,0.9958,0,23.4142,0.2149,25.5863,1.241066,0.2159,-20.31,0.009091,0.159104,0,0
1779716494.766565,111,0.9961,0,22.8952,0.2083,25.3352,1.401891,0.1954,-15.54,0.009009,0.159104,0,0
1779716495.0801098,112,0.9964,0,22.4107,0.2022,25.0417,1.544273,0.2442,-10.89,0.008929,0.159104,0,0
1779716495.3448417,113,0.9965,0,22.2589,0.1991,24.7680,1.770636,0.2319,-4.24,0.008850,0.159104,0,0
1779716495.6137948,114,0.9964,0,22.3854,0.1984,24.5573,2.040710,0.2301,4.19,0.008772,0.159104,0,0
1779716495.8644533,115,0.9962,0,22.5787,0.1984,24.4106,2.212482,0.2188,9.08,0.008696,0.159104,0,0
1779716496.1283607,116,0.9959,0,22.8813,0.1993,24.3360,2.274170,0.2059,10.46,0.008621,0.159104,0,0
1779716496.4040866,117,0.9956,0,23.2833,0.2010,24.3384,2.195116,0.2086,8.38,0.008547,0.159104,0,0
1779716496.7452593,118,0.9953,0,23.7554,0.2033,24.4172,1.979171,0.2729,4.21,0.008475,0.159104,0,0
1779716497.2179985,119,0.9950,0,24.6216,0.2088,24.6253,1.341419,0.2149,-5.56,0.008403,0.159104,0,0
1779716497.455542,120,0.9951,0,24.8327,0.2089,24.8339,1.016105,0.1931,-11.51,0.008333,0.159104,0,0
1779716497.7655156,121,0.9955,0,24.9062,0.2077,25.0202,0.831060,0.2336,-17.14,0.008264,0.159104,0,0
1779716498.028213,122,0.9960,0,24.9836,0.2067,25.1883,0.715564,0.2158,-19.48,0.008197,0.159104,0,0
1779716498.3262594,123,0.9967,0,24.9590,0.2048,25.3243,0.652210,0.2458,-21.25,0.008130,0.159104,0,0
1779716498.567492,124,0.9973,0,24.8996,0.2027,25.4274,0.633363,0.2198,-21.49,0.008065,0.159104,0,0
1779716498.8423905,125,0.9979,0,24.9308,0.2013,25.5179,0.623861,0.2151,-21.11,0.008000,0.159104,0,0
1779716499.1364408,126,0.9984,0,24.9291,0.1997,25.5923,0.594165,0.2579,-20.51,0.007937,0.159104,0,0
1779716499.3776038,127,0.9988,0,24.9211,0.1981,25.6523,0.560201,0.2304,-20.14,0.007874,0.159104,0,0
1779716499.6683304,128,0.9991,0,24.9463,0.1967,25.7055,0.529312,0.2526,-20.01,0.007812,0.159104,0,0
1779716499.9324882,129,0.9993,0,24.9105,0.1949,25.7430,0.464966,0.2362,-20.72,0.007752,0.159104,0,0
1779716500.157733,130,0.9993,0,24.8633,0.1931,25.7655,0.426516,0.1939,-21.43,0.007692,0.159104,0,0
1779716500.4378726,131,0.9992,0,24.8960,0.1918,25.7886,0.386941,0.2123,-21.68,0.007634,0.159104,0,0
1779716500.7165604,132,0.9990,0,24.9286,0.1906,25.8122,0.351435,0.2241,-22.29,0.007576,0.159104,0,0
1779716500.962539,133,0.9989,0,24.8661,0.1887,25.8206,0.339915,0.2027,-22.81,0.007519,0.159104,0,0
1779716501.229831,134,0.9989,0,24.9146,0.1877,25.8345,0.334785,0.2069,-23.23,0.007463,0.159104,0,0
1779716501.488957,135,0.9987,0,24.9621,0.1866,25.8528,0.346348,0.2088,-23.26,0.007407,0.159104,0,0
1779716501.754244,136,0.9981,0,24.9512,0.1852,25.8654,0.397225,0.2008,-23.25,0.007353,0.159104,0,0
1779716502.0121887,137,0.9967,0,24.8777,0.1833,25.8630,0.470627,0.1998,-23.24,0.007299,0.159104,0,0
1779716502.2848732,138,0.9951,0,25.1084,0.1837,25.8981,0.590633,0.2051,-23.24,0.007246,0.159104,0,0
1779716502.5695794,139,0.9934,0,24.9738,0.1814,25.9048,0.670804,0.2226,-23.28,0.007194,0.159104,0,0
1779716502.8239706,140,0.9917,0,24.8899,0.1795,25.8958,0.723660,0.2037,-23.32,0.007143,0.159104,0,0
1779716503.1151998,141,0.9901,0,24.8847,0.1782,25.8866,0.761381,0.2276,-23.33,0.007092,0.159104,0,0
1779716503.4050272,142,0.9886,0,24.8890,0.1770,25.8789,0.802069,0.2407,-23.34,0.007042,0.159104,0,0
1779716503.6388643,143,0.9872,0,24.7008,0.1745,25.8409,0.844753,0.2054,-23.32,0.006993,0.159104,0,0
1779716503.9180048,144,0.9861,0,24.4810,0.1718,25.7724,0.807920,0.2166,-23.26,0.006944,0.159104,0,0
1779716504.1741154,145,0.9855,0,24.1651,0.1685,25.6624,0.849391,0.2107,-23.20,0.006897,0.159104,0,0
1779716504.4831045,146,0.9850,0,23.5701,0.1633,25.4722,0.710045,0.2510,-23.12,0.006849,0.159104,0,0
1779716504.7228713,147,0.9846,0,23.3383,0.1607,25.2734,0.697380,0.2267,-22.96,0.006803,0.159104,0,0
1779716504.9969263,148,0.9839,0,23.0544,0.1577,25.0591,0.678807,0.2318,-22.82,0.006757,0.159104,0,0
1779716505.2488592,149,0.9831,0,22.6653,0.1541,24.8146,0.636165,0.2225,-22.73,0.006711,0.159104,0,0
1779716505.5776653,150,0.9822,0,22.2314,0.1502,24.5377,0.548372,0.2779,-22.65,0.006667,0.159104,0,0
1779716506.0514297,151,0.9809,0,21.7346,0.1460,24.2235,0.669761,0.2325,-22.51,0.006623,0.159104,0,0
1779716506.311027,152,0.9808,0,21.7003,0.1449,23.9520,0.676779,0.2303,-22.55,0.006579,0.159104,0,0
1779716506.578772,153,0.9806,0,21.6323,0.1435,23.7112,0.650977,0.2255,-22.71,0.006536,0.159104,0,0
1779716506.823616,154,0.9806,0,22.0627,0.1453,23.5767,0.915570,0.2057,-22.78,0.006494,0.159104,0,0
1779716507.1293278,155,0.9817,0,22.1177,0.1448,23.4710,0.906612,0.2541,-22.92,0.006452,0.159104,0,0
1779716507.3650165,156,0.9837,0,22.0978,0.1437,23.3773,0.904423,0.2200,-23.05,0.006410,0.159104,0,0
1779716507.644333,157,0.9862,0,22.1942,0.1434,23.3126,0.856097,0.2345,-23.18,0.006369,0.159104,0,0
1779716507.9099495,158,0.9887,0,22.4959,0.1444,23.3058,0.758106,0.2428,-23.34,0.006329,0.159104,0,0
1779716508.1571414,159,0.9908,0,22.7133,0.1449,23.3344,0.618518,0.2251,-23.56,0.006289,0.159104,0,0
1779716508.4096212,160,0.9929,0,22.9185,0.1453,23.3910,0.536789,0.2023,-23.64,0.006250,0.159104,0,0
1779716508.6963737,161,0.9951,0,23.1205,0.1456,23.4708,0.477147,0.2220,-23.64,0.006211,0.159104,0,0
1779716508.9513187,162,0.9974,0,22.8875,0.1433,23.4987,0.274549,0.2223,-23.63,0.006173,0.159104,0,0
1779716509.204679,163,0.9988,0,22.7315,0.1414,23.4958,0.316782,0.2086,-23.61,0.006135,0.159104,0,0
1779716509.481452,164,0.9992,0,23.0953,0.1428,23.5522,0.283153,0.2187,-23.60,0.006098,0.159104,0,0
1779716509.7248569,165,0.9992,0,23.0615,0.1417,23.5934,0.252630,0.1991,-23.60,0.006061,0.159104,0,0
1779716509.982537,166,0.9992,0,22.9349,0.1401,23.6065,0.219178,0.1891,-23.54,0.006024,0.159104,0,0
1779716510.2664251,167,0.9993,0,22.8403,0.1387,23.6014,0.214294,0.2059,-23.43,0.005988,0.159104,0,0
1779716510.5258048,168,0.9994,0,22.7829,0.1375,23.5869,0.211520,0.2023,-23.47,0.005952,0.159104,0,0
1779716510.7962365,169,0.9995,0,22.7367,0.1364,23.5664,0.208216,0.2151,-23.48,0.005917,0.159104,0,0
1779716511.0483906,170,0.9996,0,22.6438,0.1351,23.5333,0.183644,0.2031,-23.50,0.005882,0.159104,0,0
1779716511.331013,171,0.9995,0,22.8238,0.1354,23.5343,0.091564,0.2120,-23.52,0.005848,0.159104,0,0
1779716511.6146567,172,0.9995,0,22.5863,0.1332,23.4956,0.015230,0.2261,-23.57,0.005814,0.159104,0,0
1779716511.8558989,173,0.9995,0,22.6521,0.1328,23.4731,0.007612,0.2077,-23.58,0.005780,0.159104,0,0
1779716512.1168315,174,0.9995,0,22.6629,0.1321,23.4554,0.008179,0.2146,-23.61,0.005760,0.159104,0,0
1779716512.3888154,175,0.9995,0,22.6601,0.1313,23.4393,0.008019,0.2250,-23.67,0.005760,0.159104,0,0
1779716512.6530802,176,0.9994,0,22.6343,0.1304,23.4210,0.009225,0.2155,-23.62,0.005760,0.159104,0,0
1779716512.9539542,177,0.9994,0,22.6088,0.1295,23.4008,0.010576,0.2592,-23.60,0.005760,0.159104,0,0
1779716513.1788244,178,0.9993,0,22.5901,0.1287,23.3801,0.011491,0.2214,-23.58,0.005760,0.159104,0,0
1779716513.434284,179,0.9992,0,22.5959,0.1280,23.3631,0.010846,0.2054,-23.58,0.005760,0.159104,0,0
1779716513.735389,180,0.9991,0,22.6121,0.1273,23.3508,0.010054,0.2333,-23.57,0.005760,0.159104,0,0
1779716514.0209067,181,0.9991,0,22.6238,0.1267,23.3418,0.009093,0.2593,-23.57,0.005760,0.159104,0,0
1779716514.5072074,182,0.9990,0,22.6518,0.1261,23.3381,0.006798,0.2186,-23.57,0.005760,0.159104,0,0
1779716514.7792528,183,0.9989,0,22.6857,0.1256,23.3401,0.004978,0.2304,-23.57,0.005760,0.159104,0,0
1779716515.0302851,184,0.9989,0,22.7109,0.1250,23.3452,0.003118,0.2058,-23.57,0.005760,0.159104,0,0
1779716515.3095336,185,0.9989,0,22.7382,0.1244,23.3534,0.001513,0.2252,-23.57,0.005760,0.159104,0,0
1779716515.563696,186,0.9989,0,22.7544,0.1238,23.3623,0.001364,0.2099,-23.57,0.005760,0.159104,0,0
1779716515.824851,187,0.9989,0,22.7540,0.1231,23.3691,0.001617,0.2092,-23.57,0.005760,0.159104,0,0
1779716516.1101143,188,0.9989,0,22.7489,0.1223,23.3735,0.001852,0.2318,-23.57,0.005760,0.159104,0,0
